label,H,n_dates,n_indep,avg_names,ic,ic_med,ic_sd,icir,ic_pos,t_ic_nw,t_ic_non,top_ann,bot_ann,ls_ann,sharpe_top,sharpe_ls,t_top,t_ls,mono,hit_ex,dd_top,dd_ls,skew_ls,dsd_ls,DSR,sr_star,N_trials,turnover,to_ann,net_base,net_conservative,net_stressed,nsharpe_base
b_mom121,1,1911,1911,535.47619,0.009096,0.010708,0.110283,0.082479,0.540555,3.60653,3.605587,0.06936,-0.098953,0.168313,0.802567,1.110225,2.210676,3.058122,0.053543,0.459315,-0.134153,-0.200964,-0.267068,0.108276,0.302604,0.081914,19.0,0.11928,30.058586,-0.095457,-0.275809,-0.576395,-1.008936
b_mom121,2,1910,955,535.197382,0.0142,0.016131,0.117092,0.12127,0.553927,3.749074,3.746043,0.063207,-0.096175,0.159382,0.719323,0.988788,1.979063,2.723975,0.072664,0.466177,-0.150494,-0.209702,-0.172645,0.114281,0.245769,0.110624,19.0,0.166287,20.952123,-0.031523,-0.157235,-0.366757,-0.312737
b_mom121,3,1909,637,534.91252,0.016668,0.017962,0.120573,0.138241,0.556312,3.488951,3.484335,0.065906,-0.095452,0.161358,0.7606,0.998793,2.095435,2.747853,0.085766,0.469302,-0.149212,-0.199546,-0.094033,0.11129,0.320466,0.127697,19.0,0.200367,16.830837,-0.001353,-0.102338,-0.270647,-0.01323
b_mom121,5,1907,382,534.362349,0.019176,0.021283,0.124299,0.154273,0.566859,3.014929,3.009171,0.070467,-0.094206,0.164674,0.816294,1.006671,2.252898,2.771271,0.093617,0.469055,-0.143702,-0.206939,-0.083137,0.111303,0.372933,0.158697,19.0,0.252208,12.711289,0.031368,-0.0449,-0.172013,0.313176
b_mom121,10,1902,191,533.034175,0.022504,0.022288,0.127518,0.176476,0.573081,2.436589,2.436173,0.077325,-0.092419,0.169744,0.934223,1.040789,2.561381,2.860098,0.114616,0.471628,-0.126479,-0.194972,-0.037235,0.108103,0.514647,0.20459,19.0,0.343816,8.664172,0.062565,0.01058,-0.076062,0.637123
b_mom121,21,1891,91,530.386039,0.027744,0.027077,0.128993,0.21508,0.597039,2.045283,2.038469,0.062476,-0.088418,0.150894,0.725256,0.920425,1.982844,2.485371,0.146099,0.472273,-0.131198,-0.195825,-0.101001,0.107226,0.533992,0.256297,19.0,0.47768,5.732162,0.072613,0.03822,-0.019102,0.757335
b_mom121,42,1870,45,525.432086,0.038178,0.034008,0.124157,0.307499,0.608556,2.060091,2.037075,0.071269,-0.096978,0.168247,0.757599,1.03566,2.086137,2.855006,0.193667,0.474714,-0.12281,-0.166415,0.030968,0.092111,0.631329,0.369472,19.0,0.642747,3.856483,0.096701,0.073563,0.034998,1.005683
b_mom121,63,1849,30,520.859924,0.047699,0.044543,0.12363,0.385819,0.665765,2.102708,2.078316,0.078124,-0.098964,0.177088,0.785832,1.069557,2.164039,2.914832,0.227461,0.477689,-0.107813,-0.159476,0.007299,0.091372,0.680175,0.439828,19.0,0.744875,2.979502,0.113947,0.09607,0.066275,1.174431
b_mom121,84,1828,22,517.323304,0.061065,0.058252,0.130802,0.466848,0.701313,2.1953,2.242276,0.08436,-0.100706,0.185067,0.847103,1.13533,2.29116,2.988564,0.273616,0.484714,-0.089694,-0.157466,-0.066508,0.090965,0.715271,0.510885,19.0,0.817989,2.453968,0.108683,0.093959,0.069419,1.096171
b_mom121,126,1786,15,510.244681,0.081605,0.085521,0.137726,0.592516,0.776596,2.258108,2.208185,0.088242,-0.104298,0.192541,0.890689,1.095443,2.383384,2.88756,0.370803,0.485094,-0.090174,-0.169416,-0.505037,0.122646,0.628608,0.648318,19.0,0.889744,1.779487,0.117416,0.106739,0.088944,1.135198
b_mom121,189,1723,10,499.737086,0.087772,0.100394,0.12776,0.687002,0.788741,2.113897,2.23664,0.098979,-0.088817,0.187796,0.971179,1.091008,2.5449,2.771511,0.403247,0.479307,-0.056326,-0.12193,-0.29655,0.111516,0.616443,0.80379,18.0,0.903704,1.204938,0.116157,0.108928,0.096878,1.04101
b_prox52,1,1911,1911,540.943485,0.022857,0.021537,0.120903,0.189052,0.590267,8.266589,8.264426,0.027552,-0.096431,0.123983,0.335094,0.748988,0.923019,2.063093,0.037591,0.464156,-0.230712,-0.425131,-0.021595,0.117717,0.064933,0.081914,19.0,0.266086,67.05377,-0.447953,-0.850276,-1.520814,-4.505572
b_prox52,2,1910,955,540.65445,0.027067,0.026911,0.132067,0.204951,0.599476,6.336093,6.336018,0.034221,-0.093509,0.12773,0.394875,0.70167,1.085729,1.932917,0.057947,0.472018,-0.199441,-0.412184,0.043611,0.129086,0.068878,0.110624,19.0,0.326415,41.128302,-0.244282,-0.491052,-0.902335,-2.238858
b_prox52,3,1909,637,540.367208,0.029264,0.034135,0.138612,0.211124,0.608696,5.328367,5.324472,0.039236,-0.089905,0.129141,0.436495,0.676759,1.210372,1.86486,0.073905,0.475363,-0.178688,-0.39566,-0.096973,0.138036,0.088831,0.127697,19.0,0.363142,30.503962,-0.164436,-0.34746,-0.6525,-1.449747
b_prox52,5,1907,382,539.8086,0.031646,0.038644,0.145946,0.216834,0.609334,4.237542,4.231205,0.044275,-0.091396,0.135671,0.478892,0.673368,1.316429,1.854605,0.091894,0.472527,-0.16938,-0.353014,-0.251582,0.15061,0.110487,0.158697,19.0,0.412856,20.807944,-0.084375,-0.209222,-0.417302,-0.711563
b_prox52,10,1902,191,538.443743,0.035189,0.042332,0.15318,0.229723,0.633544,3.171766,3.162474,0.031958,-0.088992,0.12095,0.349612,0.583045,0.961117,1.606497,0.11236,0.471665,-0.160384,-0.340232,-0.376727,0.16288,0.118842,0.20459,19.0,0.485429,12.232811,-0.019277,-0.092673,-0.215001,-0.159455
b_prox52,21,1891,91,535.72184,0.042824,0.049315,0.156121,0.274299,0.636171,2.608425,2.597408,0.027928,-0.093181,0.121109,0.320677,0.589949,0.871864,1.604594,0.148682,0.472339,-0.164535,-0.350428,-0.646351,0.169494,0.223816,0.256297,19.0,0.57913,6.949561,0.029822,-0.011875,-0.081371,0.244997
b_prox52,42,1870,45,530.664171,0.053816,0.058851,0.149829,0.35918,0.677005,2.40633,2.380536,0.029519,-0.102785,0.132304,0.329674,0.704131,0.910018,1.919997,0.176879,0.471163,-0.146694,-0.274705,-0.397149,0.142716,0.310431,0.369472,19.0,0.664215,3.985289,0.059749,0.035838,-0.004015,0.543242
b_prox52,63,1849,30,526.048675,0.061197,0.067419,0.148336,0.412555,0.706328,2.248421,2.203147,0.031321,-0.102275,0.133596,0.341352,0.701261,0.927084,1.900404,0.201357,0.472362,-0.148697,-0.267249,-0.24785,0.138269,0.331707,0.439828,19.0,0.725647,2.902586,0.064143,0.046727,0.017701,0.60313
b_prox52,84,1828,22,522.589168,0.070926,0.072703,0.146562,0.483931,0.736871,2.275634,2.243308,0.031072,-0.097745,0.128817,0.324456,0.673396,0.885605,1.827225,0.224673,0.473762,-0.1526,-0.281017,-0.292932,0.132675,0.310142,0.510885,19.0,0.768611,2.305833,0.071422,0.057587,0.034529,0.648172
b_prox52,126,1786,15,515.329787,0.082799,0.080141,0.148522,0.557482,0.756999,2.12459,2.100853,0.032313,-0.082717,0.11503,0.351226,0.660843,0.918645,1.713589,0.253405,0.478444,-0.16455,-0.230568,-0.225088,0.116758,0.278648,0.648318,19.0,0.823001,1.646001,0.068324,0.058448,0.041988,0.664863
b_prox52,189,1723,10,504.655252,0.084451,0.085414,0.141029,0.59882,0.840975,1.842562,1.793234,0.030462,-0.059508,0.08997,0.337924,0.522324,0.713424,1.200487,0.288816,0.471002,-0.187396,-0.271301,-1.395872,0.170946,0.239237,0.80379,18.0,0.890625,1.1875,0.056821,0.049696,0.037821,0.564818
b_rand,1,1911,1911,544.130822,-0.000292,-0.00056,0.045477,-0.006423,0.494505,-0.28087,-0.280797,-0.020433,-0.01851,-0.001923,-0.391055,-0.023738,-1.077162,-0.065387,0.002331,0.44715,-0.216815,-0.225492,-0.306793,0.056228,0.000133,0.081914,19.0,0.915851,230.794398,-1.829933,-3.214699,-5.522643,-30.414279
b_rand,2,1910,955,543.810471,0.001876,0.002062,0.045905,0.040874,0.519895,1.263636,1.257515,0.003123,-0.012146,0.01527,0.058715,0.188043,0.161737,0.516858,0.006048,0.454638,-0.120802,-0.168443,-0.177184,0.054472,0.001899,0.110624,19.0,0.916038,115.420755,-0.908376,-1.6009,-2.755108,-15.242917
b_rand,3,1909,637,543.493452,0.002437,0.000927,0.04704,0.051803,0.511262,1.307412,1.293445,0.013001,-0.007786,0.020787,0.240041,0.246969,0.678018,0.700043,0.013363,0.454733,-0.120155,-0.163697,-0.116077,0.055689,0.005642,0.127697,19.0,0.915098,76.8682,-0.602259,-1.063469,-1.832151,-9.976457
b_rand,5,1907,382,542.888306,0.002132,0.00147,0.047398,0.044975,0.511274,0.878931,0.86723,0.009109,-0.003727,0.012836,0.171305,0.154978,0.474386,0.43167,0.015144,0.452916,-0.142834,-0.210106,-0.038101,0.053702,0.003834,0.158697,19.0,0.917456,46.2398,-0.35647,-0.633909,-1.096307,-5.960622
b_rand,10,1902,191,541.450053,0.001774,0.001942,0.047521,0.037325,0.515247,0.515346,0.529422,0.013393,-0.002463,0.015856,0.242795,0.197704,0.676829,0.54974,0.010197,0.454539,-0.126416,-0.189241,0.021748,0.051045,0.011581,0.20459,19.0,0.917364,23.117568,-0.174328,-0.313034,-0.544209,-2.987214
b_rand,21,1891,91,538.689582,-0.000885,-0.001248,0.048025,-0.018424,0.48863,-0.175204,-0.186062,0.001212,-0.003471,0.004682,0.024359,0.049849,0.061132,0.159233,-0.002471,0.449142,-0.145066,-0.21595,-0.053574,0.052746,0.011273,0.256297,19.0,0.920468,11.045621,-0.090273,-0.156547,-0.267003,-1.619814
b_rand,42,1870,45,533.622995,-0.000232,-0.001021,0.04644,-0.005001,0.486631,-0.033501,-0.05393,0.004837,-0.002412,0.007248,0.09089,0.078047,0.234655,0.240864,-0.00376,0.448792,-0.129756,-0.201863,0.106553,0.050594,0.013323,0.369472,19.0,0.917658,5.505946,-0.039057,-0.072093,-0.127152,-0.686626
b_rand,63,1849,30,529.003245,-0.000197,8.7e-05,0.046044,-0.004283,0.500811,-0.02334,-0.055845,0.003203,-0.001042,0.004245,0.050397,0.040888,0.1497,0.133719,-0.002304,0.441722,-0.131099,-0.2023,0.181076,0.051637,0.013112,0.439828,19.0,0.921425,3.685701,-0.025541,-0.047655,-0.084512,-0.407295
b_rand,84,1828,22,525.576039,0.00033,-0.000279,0.046575,0.007088,0.496171,0.033329,0.017459,0.003647,-0.000302,0.00395,0.065587,0.043224,0.169853,0.121548,0.004754,0.438612,-0.133065,-0.200448,0.068778,0.052123,0.014834,0.510885,19.0,0.924762,2.774286,-0.033768,-0.050414,-0.078157,-0.488631
b_rand,126,1786,15,518.355543,-0.000212,0.000359,0.044957,-0.004708,0.505039,-0.017941,-0.02424,0.004131,0.001617,0.002515,0.055195,0.026714,0.179655,0.074059,0.000197,0.431289,-0.123933,-0.188183,-0.049372,0.055016,0.011663,0.648318,19.0,0.921963,1.843926,-0.014259,-0.025323,-0.043762,-0.194708
b_rand,189,1723,10,507.65119,-0.000662,3e-06,0.045452,-0.014559,0.50029,-0.044799,-0.040884,0.002839,0.001915,0.000924,0.010681,0.009405,0.110545,0.024607,-0.006244,0.419317,-0.123381,-0.186761,-0.032916,0.057986,0.012223,0.80379,18.0,0.927894,1.237191,0.009204,0.001781,-0.010591,0.048842
b_residmom,1,1911,1911,544.080586,0.009182,0.010647,0.081554,0.112591,0.55416,4.923218,4.92193,0.104638,-0.0845,0.189138,1.537367,1.522617,4.234687,4.194058,0.065322,0.461565,-0.102271,-0.165849,-3.274822,0.108622,0.694543,0.081914,19.0,0.121401,30.592932,-0.12463,-0.308187,-0.614117,-1.756883
