cand,fset,h,how,filt,gate,univ,topk,topk_t,ann,bench,excess,ir,sharpe,maxdd,cost,cash,hold,yr_pos,y2020,y2021,y2022,y2023,y2024
surv10,surv10,10,equal,none,always,500,0.002947588765696715,1.53102491603911,0.27271768179977696,0.29716493118767007,-0.02444724938789311,-0.12180290172579163,1.061949402046618,-0.4023991770374813,0.05456251104930967,1.1102230246251565e-16,30.0,0.4,0.014863033646278279,-0.16488151938670348,0.15766079213124295,-0.08476337493434805,-0.01835240069858024
surv10,surv10,10,equal,none,ma200,500,0.002947588765696715,1.53102491603911,0.17482543293380504,0.29716493118767007,-0.12233949825386503,-0.735228109331899,0.8515225080938648,-0.29268743536212494,0.04994945142057506,0.12000000000000002,30.0,0.0,-0.19254616699324312,-0.1648815193867036,-0.029629911380626095,-0.10520201914891214,-0.018352400698581572
surv10,surv10,10,equal,none,vol_calm,500,0.002947588765696715,1.53102491603911,0.18590807977524482,0.29716493118767007,-0.11125685141242525,-0.6977139981384067,0.84353822586513,-0.3710826124745258,0.05213456896340613,0.07063829787234051,30.0,0.2,-0.11580194968660007,-0.19092485958628302,0.0005840673250452344,-0.1377784581335958,-0.00045288058369574724
surv10,surv10,10,equal,none,always,750,0.002947588765696715,1.53102491603911,0.27099907481090657,0.29716493118767007,-0.026165856376763497,-0.12907194043471568,1.0497413557093345,-0.4023991770374813,0.05832114849482846,1.1102230246251565e-16,20.0,0.6,0.014863033646278279,-0.1580945082186369,0.17144996065301044,-0.14011742565232432,0.02105206901625123
surv10,surv10,10,equal,none,ma200,750,0.002947588765696715,1.53102491603911,0.17042692953952732,0.29716493118767007,-0.12673800164814275,-0.7655210363129771,0.8247093776026522,-0.29268743536212494,0.05380137273956208,0.11659574468085109,20.0,0.2,-0.19254616699324312,-0.1580945082186369,-0.028732376094307455,-0.15931985220926947,0.021052069016251895
surv10,surv10,10,equal,none,vol_calm,750,0.002947588765696715,1.53102491603911,0.19067415085327566,0.29716493118767007,-0.10649078033439441,-0.6649147566673597,0.8544563024539445,-0.3710826124745258,0.05447935634163648,0.07319148936170222,20.0,0.4,-0.11580194968660007,-0.18434950274618456,0.0138264736888003,-0.17404995013516456,0.04367206472972729
surv10,surv10,10,equal,above50dma,always,500,0.002947588765696715,1.53102491603911,0.3086470312918832,0.29716493118767007,0.011482100104213133,0.07225551094317363,1.3085785600271613,-0.36400167700629016,0.04813620823195294,0.028085106382978828,30.0,0.4,-0.011928798800048157,-0.043213009231028554,0.11430632167385824,-0.06355805833665851,0.019404506123251952
surv10,surv10,10,equal,above50dma,ma200,500,0.002947588765696715,1.53102491603911,0.24266475177289792,0.29716493118767007,-0.05450017941477214,-0.3428459978257605,1.1566325006573086,-0.3060354596980889,0.045770570792243136,0.11829787234042555,30.0,0.2,-0.10175610259247059,-0.043213009231028665,-0.0815919485082538,-0.04731980501160671,0.019404506123253062
surv10,surv10,10,equal,above50dma,vol_calm,500,0.002947588765696715,1.53102491603911,0.2881146062436093,0.29716493118767007,-0.009050324944060772,-0.06280991261511212,1.2643104491399357,-0.3630681644708733,0.04654697825180066,0.08595744680851072,30.0,0.4,-0.08690044122339025,-0.04807266632734353,0.02768185440996107,-0.06373281817139786,0.10700733681444174
surv10,surv10,10,equal,above50dma,always,750,0.002947588765696715,1.53102491603911,0.3064634271013231,0.29716493118767007,0.00929849591365306,0.055693832873887204,1.3113740197500259,-0.36400167700629016,0.05077284538179441,0.03319148936170223,30.0,0.2,-0.011928798800048157,-0.04045284310422148,0.11144968913596753,-0.045735185434779835,-0.008789251280557742
surv10,surv10,10,equal,above50dma,ma200,750,0.002947588765696715,1.53102491603911,0.23812519031585078,0.29716493118767007,-0.05903974087181929,-0.3799788032823171,1.1491008442056094,-0.3060354596980889,0.047965343594896216,0.12425531914893619,30.0,0.0,-0.10175610259247059,-0.040452843104221925,-0.047834589000738004,-0.07448652082142226,-0.00878925128055763
surv10,surv10,10,equal,above50dma,vol_calm,750,0.002947588765696715,1.53102491603911,0.2850772478470365,0.29716493118767007,-0.012087683340633593,-0.07993812360997453,1.2514956610464674,-0.3630681644708733,0.04812422009917701,0.09361702127659582,30.0,0.4,-0.08690044122339025,-0.06023220755905334,0.01940982663687163,-0.041789183036015976,0.09205924561259504
surv10,surv10,10,equal,trend_abs,always,500,0.002947588765696715,1.53102491603911,0.3086470312918832,0.29716493118767007,0.011482100104213133,0.07225551094317363,1.3085785600271613,-0.36400167700629016,0.04813620823195294,0.028085106382978828,30.0,0.4,-0.011928798800048157,-0.043213009231028554,0.11430632167385824,-0.06355805833665851,0.019404506123251952
surv10,surv10,10,equal,trend_abs,ma200,500,0.002947588765696715,1.53102491603911,0.24266475177289792,0.29716493118767007,-0.05450017941477214,-0.3428459978257605,1.1566325006573086,-0.3060354596980889,0.045770570792243136,0.11829787234042555,30.0,0.2,-0.10175610259247059,-0.043213009231028665,-0.0815919485082538,-0.04731980501160671,0.019404506123253062
surv10,surv10,10,equal,trend_abs,vol_calm,500,0.002947588765696715,1.53102491603911,0.2881146062436093,0.29716493118767007,-0.009050324944060772,-0.06280991261511212,1.2643104491399357,-0.3630681644708733,0.04654697825180066,0.08595744680851072,30.0,0.4,-0.08690044122339025,-0.04807266632734353,0.02768185440996107,-0.06373281817139786,0.10700733681444174
surv10,surv10,10,equal,trend_abs,always,750,0.002947588765696715,1.53102491603911,0.3064634271013231,0.29716493118767007,0.00929849591365306,0.055693832873887204,1.3113740197500259,-0.36400167700629016,0.05077284538179441,0.03319148936170223,30.0,0.2,-0.011928798800048157,-0.04045284310422148,0.11144968913596753,-0.045735185434779835,-0.008789251280557742
surv10,surv10,10,equal,trend_abs,ma200,750,0.002947588765696715,1.53102491603911,0.23812519031585078,0.29716493118767007,-0.05903974087181929,-0.3799788032823171,1.1491008442056094,-0.3060354596980889,0.047965343594896216,0.12425531914893619,30.0,0.0,-0.10175610259247059,-0.040452843104221925,-0.047834589000738004,-0.07448652082142226,-0.00878925128055763
surv10,surv10,10,equal,trend_abs,vol_calm,750,0.002947588765696715,1.53102491603911,0.2850772478470365,0.29716493118767007,-0.012087683340633593,-0.07993812360997453,1.2514956610464674,-0.3630681644708733,0.04812422009917701,0.09361702127659582,30.0,0.4,-0.08690044122339025,-0.06023220755905334,0.01940982663687163,-0.041789183036015976,0.09205924561259504
surv10,surv10,10,ridge,none,always,500,-0.0015955928413670653,-0.9392449774536522,0.22291259091727422,0.29716493118767007,-0.07425234027039584,-0.5640315845117003,1.0391580528936366,-0.41680979941479157,0.0320954431981559,1.1102230246251565e-16,40.0,0.2,-0.20272659093241718,-0.014878934662432064,0.02454850489681082,-0.06392771321506063,-0.05121524144859524
surv10,surv10,10,ridge,none,ma200,500,-0.0015955928413670653,-0.9392449774536522,0.17085382705508878,0.29716493118767007,-0.1263111041325813,-0.844844423859352,0.9083640855877116,-0.3406564649323688,0.02943454746196326,0.0961702127659575,35.0,0.0,-0.33910045461739224,-0.00218890523072357,-0.04557617606673081,-0.05694875163009616,-0.05121524144859424
surv10,surv10,10,ridge,none,vol_calm,500,-0.0015955928413670653,-0.9392449774536522,0.17139301229520032,0.29716493118767007,-0.12577191889246975,-0.863628244822781,0.881076796753217,-0.36534800258140665,0.029927361912208666,0.06893617021276605,40.0,0.0,-0.3217437010571308,-0.024521902912751026,-0.002795730554815412,-0.06958562361404519,-0.0705467930532131
surv10,surv10,10,ridge,none,always,750,-0.0015955928413670653,-0.9392449774536522,0.21254852029947413,0.29716493118767007,-0.08461641088819594,-0.6274834122420061,0.984438958590015,-0.41680979941479157,0.035267193290326224,1.1102230246251565e-16,30.0,0.2,-0.20272659093241718,-0.014210553757788125,0.02711849988999182,-0.08703148713187103,-0.06533891475346354
surv10,surv10,10,ridge,none,ma200,750,-0.0015955928413670653,-0.9392449774536522,0.150734647721408,0.29716493118767007,-0.14643028346626208,-0.968406148343123,0.8009707579256031,-0.3406564649323688,0.03333467626962212,0.09957446808510641,30.0,0.0,-0.33910045461739224,-0.0015119144468966894,-0.046398424259266324,-0.1144190810721798,-0.06533891475346432
surv10,surv10,10,ridge,none,vol_calm,750,-0.0015955928413670653,-0.9392449774536522,0.1652044298754063,0.29716493118767007,-0.13196050131226378,-0.8889867612715584,0.855122998828355,-0.36534800258140665,0.032804849228913115,0.07489361702127667,30.0,0.0,-0.3217437010571308,-0.030539027679086228,-0.04291147416887342,-0.0783169127549257,-0.042126223368932014
surv10,surv10,10,ridge,above50dma,always,500,-0.0015955928413670653,-0.9392449774536522,0.1962628231584005,0.29716493118767007,-0.10090210802926958,-0.6213620894519429,1.0236552102927736,-0.3090061147569281,0.02979766625954235,0.010212765957446917,40.0,0.2,-0.23455477510806355,0.04770134290771999,-0.029301350959384576,-0.10193680540538919,-0.09363093543959355
surv10,surv10,10,ridge,above50dma,ma200,500,-0.0015955928413670653,-0.9392449774536522,0.17732002815596948,0.29716493118767007,-0.11984490303170059,-0.7571915813240457,0.982005481317457,-0.30048419149684946,0.0289265957304449,0.08765957446808514,40.0,0.2,-0.23124906745502338,0.029998844432596705,-0.09943241087762189,-0.09712819391073757,-0.09363093543959333
surv10,surv10,10,ridge,above50dma,vol_calm,500,-0.0015955928413670653,-0.9392449774536522,0.1817377702879328,0.29716493118767007,-0.11542716089973726,-0.6891179518620298,0.9709420772124574,-0.3090061147569281,0.028313738796454355,0.06468085106382987,40.0,0.2,-0.2830198590649444,0.0407975028054679,-0.011931489579712795,-0.11248688096689285,-0.09094106084029518
surv10,surv10,10,ridge,above50dma,always,750,-0.0015955928413670653,-0.9392449774536522,0.19369834251663098,0.29716493118767007,-0.10346658867103908,-0.633213963822763,1.0058014348551902,-0.3090061147569281,0.03410321438738309,0.011489361702127766,30.0,0.2,-0.23455477510806355,0.05112614899014867,-0.03794497098379446,-0.1436792452699185,-0.0524030533253963
surv10,surv10,10,ridge,above50dma,ma200,750,-0.0015955928413670653,-0.9392449774536522,0.17434113747325575,0.29716493118767007,-0.12282379371441432,-0.7697907717579663,0.9627527072990564,-0.30048419149684946,0.0324069928986936,0.09574468085106386,30.0,0.2,-0.23124906745502338,0.03336578323742723,-0.11045077645079948,-0.13828852494653865,-0.052403053325396076
surv10,surv10,10,ridge,above50dma,vol_calm,750,-0.0015955928413670653,-0.9392449774536522,0.170366487627156,0.29716493118767007,-0.12679844356051406,-0.7531798833954562,0.9223197087474614,-0.3090061147569281,0.03138676840312949,0.06936170212765966,30.0,0.2,-0.2830198590649444,0.044199741088652544,-0.035843566672474236,-0.14384759832197058,-0.08103722900552912
surv10,surv10,10,ridge,trend_abs,always,500,-0.0015955928413670653,-0.9392449774536522,0.1962628231584005,0.29716493118767007,-0.10090210802926958,-0.6213620894519429,1.0236552102927736,-0.3090061147569281,0.02979766625954235,0.010212765957446917,40.0,0.2,-0.23455477510806355,0.04770134290771999,-0.029301350959384576,-0.10193680540538919,-0.09363093543959355
surv10,surv10,10,ridge,trend_abs,ma200,500,-0.0015955928413670653,-0.9392449774536522,0.17732002815596948,0.29716493118767007,-0.11984490303170059,-0.7571915813240457,0.982005481317457,-0.30048419149684946,0.0289265957304449,0.08765957446808514,40.0,0.2,-0.23124906745502338,0.029998844432596705,-0.09943241087762189,-0.09712819391073757,-0.09363093543959333
surv10,surv10,10,ridge,trend_abs,vol_calm,500,-0.0015955928413670653,-0.9392449774536522,0.1806387808629546,0.29716493118767007,-0.11652615032471547,-0.6952879567363742,0.9658004313575279,-0.3090061147569281,0.02787742891141993,0.06468085106382987,40.0,0.2,-0.286146706856772,0.04079750280546768,-0.011931489579713461,-0.11248688096689219,-0.09094106084029563
surv10,surv10,10,ridge,trend_abs,always,750,-0.0015955928413670653,-0.9392449774536522,0.19369834251663098,0.29716493118767007,-0.10346658867103908,-0.633213963822763,1.0058014348551902,-0.3090061147569281,0.03410321438738309,0.011489361702127766,30.0,0.2,-0.23455477510806355,0.05112614899014867,-0.03794497098379446,-0.1436792452699185,-0.0524030533253963
surv10,surv10,10,ridge,trend_abs,ma200,750,-0.0015955928413670653,-0.9392449774536522,0.17434113747325575,0.29716493118767007,-0.12282379371441432,-0.7697907717579663,0.9627527072990564,-0.30048419149684946,0.0324069928986936,0.09574468085106386,30.0,0.2,-0.23124906745502338,0.03336578323742723,-0.11045077645079948,-0.13828852494653865,-0.052403053325396076
surv10,surv10,10,ridge,trend_abs,vol_calm,750,-0.0015955928413670653,-0.9392449774536522,0.16927807323811805,0.29716493118767007,-0.127886857949552,-0.759311613741042,0.9171646946442469,-0.3090061147569281,0.03095045851809506,0.06936170212765966,30.0,0.2,-0.286146706856772,0.0441997410886521,-0.03584356667247324,-0.14384759832197003,-0.08103722900552957
surv10,surv10,21,equal,none,always,500,0.003995791816280908,1.4108054356535726,0.31186871348741385,0.29716493118767007,0.014703782299743784,0.09276162977481663,1.1902431196740824,-0.4023991770374813,0.05295913028019482,1.1102230246251565e-16,30.0,0.2,-0.0049631248332723255,-0.03527014103081538,0.17684381892369494,-0.08476337493434849,-0.018352400698580573
surv10,surv10,21,equal,none,ma200,500,0.003995791816280908,1.4108054356535726,0.21069654461570608,0.29716493118767007,-0.08646838657196398,-0.534525507621452,1.005189348924784,-0.29268743536212494,0.048463940092362365,0.12085106382978726,30.0,0.0,-0.2083206075990578,-0.03527014103081516,-0.014138590637398418,-0.10520201914891325,-0.01835240069858013
surv10,surv10,21,equal,none,vol_calm,500,0.003995791816280908,1.4108054356535726,0.23512196066528368,0.29716493118767007,-0.06204297052238639,-0.394964329630692,1.0249440375447536,-0.3710826124745258,0.05138498393081437,0.07148936170212776,30.0,0.2,-0.104602093681738,-0.040225441333946343,0.008668500365365928,-0.1377784581335958,-0.00045288058369519213
surv10,surv10,21,equal,none,always,750,0.003995791816280908,1.4108054356535726,0.30214925778251245,0.29716493118767007,0.004984326594842381,0.028495357434613382,1.18724832227802,-0.4023991770374813,0.05693293898817285,1.1102230246251565e-16,22.5,0.4,-0.0049631248332723255,-0.0846163140889532,0.2219064298600557,-0.14011742565232466,0.02105206901625123
