ic,ic_t,n_dates,topk_excess,topk_t,ann,bench_ann,excess_ann,ir,sharpe,maxdd,cost_drag,cash,n_per,yr_pos,yr_min,yr_med,n_years,h,fset,nf,method,univ
0.03138654319582973,2.788321250626304,191,0.00030001863978647124,0.34306412075776566,0.1413974111691294,0.3319732700901581,-0.19057585892102868,-1.3913904343179275,0.8365134822586175,-0.16754522259443405,0.08525755885218941,0.0137434554973822,191,0.0,-0.20202414409207203,-0.10393214518024896,5,5,kept_h,26,equal,100
0.037452753016154056,4.184488517009758,191,0.0014806765269400328,1.5108478448360763,0.1896470532663439,0.3319732700901581,-0.1423262168238142,-1.0173322996820369,1.0175915792569148,-0.18989016425579552,0.1074934440485849,0.01767015706806283,191,0.2,-0.19492905419270068,-0.06775077117108097,5,5,kept_h,26,equal,200
0.04333319153731613,6.156535293922457,191,0.0016187464675734415,1.4099389753196439,0.1869002976654408,0.3319732700901581,-0.14507297242471728,-1.0292961796727542,1.052232572962145,-0.1242138407837099,0.16243917931545418,0.08507853403141362,191,0.2,-0.2758960716398793,-0.0295837060721994,5,5,kept_h,26,equal,500
0.045446715457654795,6.5358817328701795,191,0.0014068236335604916,1.1744164589875319,0.1847249828566444,0.3319732700901581,-0.14724828723351369,-1.0342704634204731,1.0494462376002962,-0.11784855806437367,0.1678308046961988,0.1263089005235602,191,0.2,-0.27987759436159887,-0.05440538836879971,5,5,kept_h,26,equal,750
0.028052009206682438,2.410845329229402,191,0.0010919186758384576,1.2392692926129807,0.13667425969247904,0.3319732700901581,-0.19529901039767905,-1.4453154194493807,0.7955468692149472,-0.20697751319309554,0.07279788515407554,0.01767015706806283,191,0.0,-0.21794255556182118,-0.07928963640874931,5,5,kept_h,26,ic_weighted,100
0.03656651159177888,3.836291686089041,191,0.0008617305527173022,0.8560546115277169,0.18886988212898403,0.3319732700901581,-0.14310338796117406,-0.9626953801675581,1.117671574105229,-0.15580924952386976,0.09524033206047719,0.028795811518324606,191,0.2,-0.17434617608464886,-0.08845213655821693,5,5,kept_h,26,ic_weighted,200
0.04234213270631657,5.275640257610773,191,0.0005947867273084858,0.5327580346586794,0.1568109784433036,0.3319732700901581,-0.17516229164685448,-1.1902639473606011,0.9949489487406356,-0.15610815940309664,0.1368809209857877,0.06544502617801047,191,0.2,-0.266255911237686,-0.04371796676777684,5,5,kept_h,26,ic_weighted,500
0.044607623820585834,5.599794154866188,191,0.0002405198128815955,0.21528127765090713,0.1514349379653004,0.3319732700901581,-0.1805383321248577,-1.205531151775062,0.9847947924154314,-0.13523283930668828,0.1428665811865094,0.10602094240837696,191,0.2,-0.269975624831179,-0.09019671232707827,5,5,kept_h,26,ic_weighted,750
0.03785507426919425,3.7983909827257523,191,0.00047121929609416664,0.5085986990715048,0.15218529761862087,0.3319732700901581,-0.17978797247153722,-1.2559573668264226,0.8337539879411349,-0.20252804470670038,0.10877861097797704,0.0058900523560209425,191,0.0,-0.1689008976190035,-0.1441617278673074,5,5,kept_h,26,ridge_20.0,100
0.043419541672894454,5.326086962188569,191,0.0012980345734126906,1.2202205551269973,0.14758385615900305,0.3319732700901581,-0.18438941393115504,-1.3857977774547146,0.7056140225640356,-0.22699041552014232,0.14533641174991915,0.01112565445026178,191,0.2,-0.21675418350312692,-0.14519489661865903,5,5,kept_h,26,ridge_20.0,200
