factor,h,ic,t,null_t95,keep,n_dates,n_null
amihud_60,63,0.024984262712925514,4.424561422335224,11.116048257811745,False,293,426
amihud_trend,63,-0.01178918386339764,-2.2772395629230284,6.220224144991311,False,293,426
zero_ret_60,63,0.018425850543955968,4.1812213291646865,10.129197635122061,False,293,426
avg_trade_size,63,-0.013943569402180186,-2.3091326790784614,10.76351854267061,False,293,426
volume_shock_5,63,0.011540266418021881,2.7122890530996067,3.642362867403996,False,293,426
vol_of_turnover,63,-0.0018800286506881548,-0.41038592583465316,11.461825200092736,False,293,426
cs_spread_60,63,0.0075047995775740445,1.0681202142404944,11.536434080417488,False,293,426
deliv_pct_60,63,0.02583085577324789,3.7752558087795434,6.036600658388349,False,244,378
deliv_trend,63,0.011823203195671771,3.0496701788320437,5.4040834792353305,False,235,369
deliv_z_21,63,0.027684649861391138,6.931802505920313,6.553010251671772,True,222,356
deliv_chg_5,63,0.008006288360465613,2.077319656377955,3.6687244275347113,False,244,378
deliv_x_turnover,63,0.018336657636929685,2.671241151008218,6.298412579748618,False,244,378
deliv_value_trend,63,0.005901836522629033,1.2143011801381307,5.371131334211564,False,235,369
dist_50dma,63,0.02789866088788913,4.71927363382738,4.141258385621009,True,293,426
dist_200dma,63,0.061080183094090204,7.965966027467429,7.310590449652461,True,293,426
ma_50_200,63,0.06227435454612181,7.940617585236161,8.4001508203705,False,293,426
price_vs_vwap_20,63,0.014588696248561654,2.6217733306966204,3.089261401497474,False,293,426
rsi_14,63,0.015416832739397555,3.248933988311234,2.874766683840678,True,293,426
trend_r2_120,63,0.022102665645175178,4.740873833252456,7.18124718764863,False,293,426
trend_slope_120,63,0.05051992301323214,7.5911716260702695,7.157438189353222,True,293,426
seasonal_same_month,63,-0.00404852667508399,-0.7023143237455365,21.367134614265385,False,293,426
