slots,entry,exit,rebal,cap,univ,ann,bench,excess,ir,sharpe,maxdd,cost,hold,mhold,ntr,cash,yr_pos,yr_min,y2020,y2021,y2022,y2023,y2024
8,10,16,1,2,500,0.41901754979385064,0.29716493118767007,0.12185261860618057,0.6209810030884776,1.4612213290576144,-0.36043440200812704,0.07808669084585095,15.0,22.65281173594132,409,0.014361702127659574,0.6,-0.06259837727244644,0.15986374581285467,0.20611761822250863,-0.056053697343307674,0.22662420461722776,-0.06259837727244644
8,10,16,1,2,750,0.40005794445800014,0.29716493118767007,0.10289301327033007,0.5378885533551173,1.419359609755936,-0.36043440200812704,0.0823611023856457,15.0,21.753554502369667,422,0.023404255319148935,0.6,-0.04330925887266579,0.15986374581285467,0.1363603684357435,-0.04330925887266579,0.16894169925912972,-0.034891492356288856
8,10,16,1,3,500,0.38172772931043086,0.29716493118767007,0.0845627981227608,0.45591161355082777,1.3573071589589567,-0.36043440200812704,0.07931203448861952,15.0,23.225806451612904,403,0.00425531914893617,0.6,-0.12326597834461306,0.13104343155784193,0.28149927199321967,-0.12326597834461306,0.16068176183785843,-0.0919801144717779
8,10,16,1,3,750,0.39947046871446545,0.29716493118767007,0.10230553752679539,0.5357536885987647,1.400531199092336,-0.36043440200812704,0.08152895893196473,15.0,23.061728395061728,405,0.006382978723404255,0.6,-0.07048818777166432,0.13104343155784193,0.20372672860687246,-0.07048818777166432,0.17426295677465875,-0.04127586972308639
8,10,16,2,2,500,0.3750741798940094,0.29716493118767007,0.0779092487063393,0.4358589734460771,1.3198782291200246,-0.36981583744391144,0.05989377352024054,20.0,29.523809523809526,315,0.010638297872340425,0.6,-0.11107709568778545,0.05006476602881138,0.23071765235173292,-0.06360638104881289,0.22379953186554746,-0.11107709568778545
8,10,16,2,2,750,0.37591344038986385,0.29716493118767007,0.07874850920219378,0.4385989514470189,1.3291784157283237,-0.36981583744391144,0.06103065370474029,20.0,29.142857142857142,315,0.023404255319148935,0.6,-0.12711877357299972,0.05006476602881138,0.16266548877765152,-0.006377152971930977,0.24471694532385047,-0.12711877357299972
8,10,16,2,3,500,0.41900598662459276,0.29716493118767007,0.1218410554369227,0.6137656108097651,1.438135152183078,-0.36981583744391144,0.060613394650444144,20.0,30.323624595469255,309,0.0031914893617021275,0.6,-0.08518314036238839,0.06062695003818752,0.3747817480737037,-0.04246370975366187,0.19183829669663033,-0.08518314036238839
8,10,16,2,3,750,0.41342552931642684,0.29716493118767007,0.11626059812875678,0.6003638296135504,1.4231777557815009,-0.36981583744391144,0.06125801793611302,20.0,30.35830618892508,307,0.00851063829787234,0.6,-0.10356503001756867,0.06062695003818752,0.2976376811721333,-0.0023798165017993034,0.21668643134309273,-0.10356503001756867
8,10,18,1,2,500,0.49622125253922666,0.29716493118767007,0.1990563213515566,0.9608399159660476,1.605172950900887,-0.4054453896823781,0.06930540326714042,15.0,25.819444444444443,360,0.011170212765957447,0.6,-0.053583227852126325,0.28352896604079136,0.39571319293104046,-0.053583227852126325,0.21051435240559613,-0.037169217950200006
8,10,18,1,2,750,0.48869350419390556,0.29716493118767007,0.1915285730062355,0.9138112871755972,1.5722573404586015,-0.4054453896823781,0.07526356400686281,15.0,24.13612565445026,382,0.019148936170212766,0.8,-0.023637363357438157,0.28352896604079136,0.30326511117820387,-0.023637363357438157,0.15788618670902688,0.021538558098564975
