slots,entry,exit,rebal,cap,univ,wt,ann,bench,excess,ir,sharpe,maxdd,cost,hold,mhold,ntr,yr_pos,y2020,y2021,y2022,y2023,y2024
8,12,16,1,2,500,equal,0.42495396309002587,0.29716493118767007,0.1277890319023558,0.6465480275570761,1.473087524753684,-0.36043440200812704,0.07995079386979678,15.0,22.380382775119617,418,0.6,0.15986374581285467,0.1932714566785647,-0.0435199071845811,0.23702805086056333,-0.05362318693748103
8,12,16,1,2,750,equal,0.4063458433266607,0.29716493118767007,0.10918091213899062,0.5641035278385139,1.4296113793768646,-0.36043440200812704,0.08548832731544312,15.0,21.267123287671232,438,0.6,0.15986374581285467,0.12792385730042333,-0.026030832389785652,0.16096517583175962,-0.016873617313855505
8,12,16,1,3,500,equal,0.39314365406194396,0.29716493118767007,0.09597872287427389,0.5037436317931762,1.3844646394118136,-0.36043440200812704,0.07999433973708706,15.0,23.15270935960591,406,0.6,0.13104343155784193,0.28451281725449085,-0.11112106509424724,0.18192389811273846,-0.0875906148049922
8,12,16,1,3,750,equal,0.40463932606210906,0.29716493118767007,0.107474394874439,0.5552986764615254,1.4184285871095448,-0.36043440200812704,0.0824002549803808,15.0,22.946210268948654,409,0.6,0.13104343155784193,0.2065573856802989,-0.060410268262025446,0.1716748113516322,-0.03636437566473638
8,12,16,2,2,500,equal,0.3662253830624089,0.29716493118767007,0.06906045187473886,0.39789353767023294,1.295773452878901,-0.36981583744391144,0.06048910501723359,20.0,29.49685534591195,318,0.6,0.05006476602881138,0.22351332303817983,-0.063606381048813,0.21261991384506485,-0.12434696597171657
8,12,16,2,2,750,equal,0.3784674107083992,0.29716493118767007,0.08130247952072911,0.4563262906797491,1.3291283991318494,-0.36981583744391144,0.06293673529270945,20.0,28.796296296296298,324,0.8,0.05006476602881138,0.1437673434877602,0.0002270886609423428,0.2598887046874936,-0.1188181314823894
8,12,16,2,3,500,equal,0.41612354619422387,0.29716493118767007,0.1189586150065538,0.6032550641916776,1.4304227943727612,-0.36981583744391144,0.060610366984872134,20.0,30.388349514563107,309,0.6,0.06062695003818752,0.3747817480737037,-0.04246370975366187,0.18093201102976808,-0.08518314036238916
8,12,16,2,3,750,equal,0.4139132151041245,0.29716493118767007,0.11674828391645442,0.6061656584298125,1.4231996676870828,-0.36981583744391144,0.06195137791805898,20.0,30.258064516129032,310,0.6,0.06062695003818752,0.28517641635901514,-0.0023798165017997475,0.2393691458962086,-0.10903847247785559
8,12,16,4,2,500,equal,0.3708810756962899,0.29716493118767007,0.07371614450861985,0.4221421401047571,1.3096256730296594,-0.37996222117591094,0.04496137690566474,40.0,40.3448275862069,232,0.6,0.04319822817452201,0.28896420634053,-0.07747267903213928,0.06549760546511663,-0.016797832050326922
8,12,16,4,2,750,equal,0.4479730476761796,0.29716493118767007,0.15080811648850956,0.7498827294994141,1.5145095661645356,-0.37996222117591094,0.04508825776509398,40.0,40.08620689655172,232,0.8,0.04319822817452201,0.35456623739073834,-0.03387626510817843,0.1386672565443534,0.07961023338438955
8,12,16,4,3,500,equal,0.3873644586790439,0.29716493118767007,0.09019952749137383,0.48709811890514226,1.3448659594506382,-0.37996222117591094,0.04575010637867575,40.0,40.78260869565217,230,0.6,0.02313005200230811,0.3825975282388794,-0.13168076142858753,0.13500278401502364,-0.014293309387272024
8,12,16,4,3,750,equal,0.4745324200098986,0.29716493118767007,0.17736748882222853,0.8503172462166255,1.5415852823906409,-0.37996222117591094,0.04584336764963867,40.0,40.96069868995633,229,0.8,0.02313005200230811,0.4006994629410068,-0.06292313253504689,0.2101395555709844,0.13251780674257185
